source,target,weight,source_name,target_name
Q1113804,Q7414,6,Comcast,The Walt Disney Company
Q1156045,Q26678,6,Public Storage,BMW Group
Q10856243,Q3301958,6,Newegg,Overstock.com
Q1548363,Q6914636,6,Magic Software Enterprises Ltd.,Mortgage Guaranty Insurance Corporation
Q3598926,Q3884,6,JD.com,Amazon
Q1023876,Q30635731,6,CME Group,"Cboe Global Markets, Inc."
Q1472929,Q898750,6,"Nasdaq, Inc.",Teva Pharmaceutical Industries Ltd.
Q2901365,Q81965,6,Mobileye,General Motors
Q1046951,Q153417,6,Target Corporation,Kroger
Q3511885,Q467752,6,T-Mobile US,Verizon Communications
Q677464,Q7389067,6,Dominion Energy,SCANA
Q35476,Q544847,6,AT&T,Qualcomm
Q1418,Q312,6,Nokia,Apple Inc.
Q157062,Q1570773,6,Unilever,Kohlberg Kravis Roberts
Q3301958,Q3540193,6,Overstock.com,Wayfair
Q312,Q60269744,6,Apple Inc.,Spotify Technology
Q38589917,Q632694,6,DowDuPont,Archer Daniels Midland
Q58024,Q95,6,eBay,Google
Q14772,Q502121,6,Baidu,BlackBerry
Q157062,Q3884,6,Unilever,Amazon
Q5439999,Q66048,6,Federal Agricultural Mortgage Corporation,Deutsche Bank
Q18712620,Q624375,6,Walgreens Boots Alliance,CVS Health
Q219635,Q334204,6,BlackRock,Morgan Stanley
Q2529982,Q35476,6,The New York Times Company,AT&T
Q334204,Q544847,6,Morgan Stanley,Qualcomm
Q1570773,Q880942,6,Kohlberg Kravis Roberts,Blackstone Group
Q372657,Q880942,6,Credit Suisse,Blackstone Group
Q2874395,Q507154,6,Avis Budget Group,Novartis
Q2529982,Q470156,6,The New York Times Company,Cencora
Q334204,Q95,6,Morgan Stanley,Google
Q15678788,Q20800404,6,Fiat Chrysler Automobiles,Alphabet Inc.
Q219508,Q451476,6,Citigroup,Scotiabank
Q214763,Q319642,6,ConocoPhillips,Chevron Corporation
Q2283,Q877536,6,Microsoft,Dell EMC
Q16981175,Q7259716,6,Lennar Corporation,PulteGroup
Q16981175,Q7814310,6,Lennar Corporation,Toll Brothers
Q5041354,Q625713,6,Carlisle Companies,BHP
Q4048013,Q7571413,6,Range Resources,Southwestern Energy
Q1645081,Q66,6,Nucor,Boeing
Q5377000,Q7571413,6,Energy Transfer,Southwestern Energy
Q334204,Q7663801,6,Morgan Stanley,Global Industrial Company
Q13218598,Q193326,6,NatWest Group,Goldman Sachs
Q13218598,Q219508,6,NatWest Group,Citigroup
Q13218598,Q245343,6,NatWest Group,Barclays plc
Q207983,Q221062,6,Monsanto,DuPont
Q1472929,Q483551,6,"Nasdaq, Inc.",Walmart
Q24525746,Q835456,6,BCE Inc.,Sun Life Financial
Q1141267,Q2448801,6,Thomson Reuters,TransAlta Corporation
Q24525746,Q666694,6,BCE Inc.,Canadian Imperial Bank of Commerce
Q20800404,Q37156,6,Alphabet Inc.,IBM
Q221062,Q855639,6,DuPont,Dow Chemical Company
Q128896,Q1472929,6,AMD,"Nasdaq, Inc."
Q116452644,Q193326,6,"Netflix, Inc.",Goldman Sachs
Q1359568,Q15913890,6,Alibaba Group,iQIYI
Q467752,Q9396,6,Verizon Communications,Deutsche Telekom
Q193326,Q880942,6,Goldman Sachs,Blackstone Group
Q334204,Q35476,6,Morgan Stanley,AT&T
Q27022329,Q95,6,Snap Inc.,Google
Q39046155,Q7571413,6,Antero Resources,Southwestern Energy
Q212322,Q247489,6,GSK,Merck & Co.
Q20183163,Q20858163,6,Union Pacific Corporation,Norfolk Southern Corporation
Q54173,Q677464,6,General Electric,Dominion Energy
Q245343,Q3884,6,Barclays plc,Amazon
Q1024454,Q20858163,6,CSX Corporation,Norfolk Southern Corporation
Q144617,Q947718,6,TIM Group,Reynolds American
Q487907,Q735261,6,Bank of America,Royal Bank of Canada
Q66048,Q880942,6,Deutsche Bank,Blackstone Group
Q3884,Q744149,6,Amazon,Wells Fargo
Q312,Q483551,6,Apple Inc.,Walmart
Q2140077,Q2288792,6,Tribune Media,Sinclair Broadcast Group
Q570473,Q906187,6,McKesson Corporation,Allergan plc
Q334204,Q880942,6,Morgan Stanley,Blackstone Group
Q1652574,Q2448801,6,Manulife Financial,TransAlta Corporation
Q1652574,Q24525746,6,Manulife Financial,BCE Inc.
Q2448801,Q24525746,6,TransAlta Corporation,BCE Inc.
Q2448801,Q666694,6,TransAlta Corporation,Canadian Imperial Bank of Commerce
Q2448801,Q735261,6,TransAlta Corporation,Royal Bank of Canada
Q2448801,Q835456,6,TransAlta Corporation,Sun Life Financial
Q1141267,Q1339966,6,Thomson Reuters,Enbridge
Q1141267,Q1652574,6,Thomson Reuters,Manulife Financial
Q19900,Q19923099,6,Oracle Corporation,Hewlett Packard Enterprise
Q301965,Q483551,6,Sprint Corporation,Walmart
Q247489,Q266423,6,Merck & Co.,Bristol-Myers Squibb
Q19900,Q95,6,Oracle Corporation,Google
Q7685824,Q7695260,6,Targa Resources,Tejon Ranch
Q1141267,Q24525746,6,Thomson Reuters,BCE Inc.
Q1141267,Q666694,6,Thomson Reuters,Canadian Imperial Bank of Commerce
Q1141267,Q735261,6,Thomson Reuters,Royal Bank of Canada
Q1141267,Q835456,6,Thomson Reuters,Sun Life Financial
Q1194832,Q1652574,6,Toronto-Dominion Bank,Manulife Financial
Q1194832,Q835456,6,Toronto-Dominion Bank,Sun Life Financial
Q1339966,Q2448801,6,Enbridge,TransAlta Corporation
Q1359568,Q312,6,Alibaba Group,Apple Inc.
Q1046951,Q715583,6,Target Corporation,Costco
Q2283,Q66048,6,Microsoft,Deutsche Bank
Q135683211,Q58024,6,PayPal Holdings,eBay
Q312,Q58024,6,Apple Inc.,eBay
Q116452644,Q193199,6,"Netflix, Inc.",UBS
Q54173,Q741707,6,General Electric,Wabtec
Q5479360,Q920037,6,"Macy's, Inc.",J. C. Penney
Q1339966,Q24525746,6,Enbridge,BCE Inc.
Q1339966,Q666694,6,Enbridge,Canadian Imperial Bank of Commerce
Q22909236,Q3884,6,Instacart,Amazon
Q11235714,Q7308000,6,NIS Group,Regency Centers
Q192314,Q66048,6,JPMorgan Chase,Deutsche Bank
Q207983,Q38589917,6,Monsanto,DowDuPont
Q312,Q898750,6,Apple Inc.,Teva Pharmaceutical Industries Ltd.
Q502940,Q66,6,General Dynamics,Boeing
Q1472929,Q16974741,6,"Nasdaq, Inc.",AMAG Pharmaceuticals
Q154950,Q156238,6,Shell,ExxonMobil
Q6723256,Q95,6,Macerich,Google
Q1023876,Q219508,6,CME Group,Citigroup
