company_1,company_2,article_count
Siemens,UBS,2
Johnson & Johnson,Kimberly-Clark,2
IBM,Johnson & Johnson,2
AT&T,Visa,2
Intel,Xerox,2
Amazon,Vodafone,2
Bank of America,Canadian Imperial Bank of Commerce,2
Amazon,PepsiCo,2
Braskem,Petrobras,2
IBM,Ribbon Communications,2
American Express,IBM,2
Amazon,RadioShack,2
Boeing,Dow Jones Industrial Average,2
Nvidia,Toyota,2
Intel,Morgan Stanley,2
First Solar,Shell,2
Bank of America,Toronto-Dominion Bank,2
Bank of America,Sun Life Financial,2
Bank of America,Royal Bank of Canada,2
Nokia,Siemens,2
Monsanto,Siemens,2
Monsanto,SAP,2
ASML,UBS,2
Deutsche Bank,Liberty Global,2
China Telecom,ChinaCache,2
ASML,Intel,2
Credit Suisse,Ferrari,2
BlackRock,Microsoft,2
Amazon,Nike,2
Rent The Runway,Walmart,2
Amazon,Rent The Runway,2
Enbridge,Spectra Energy,2
UBS,ZTO Express,2
Morgan Stanley,ZTO Express,2
Goldman Sachs,ZTO Express,2
Deutsche Bank,ZTO Express,2
Credit Suisse,ZTO Express,2
Citigroup,ZTO Express,2
American Airlines,American Airlines Group,2
Cushman & Wakefield,Google,2
Microsoft,Ribbon Communications,2
CME Group,Shell,2
Qualcomm,Texas Instruments,2
Broadcom,Texas Instruments,2
MSCI,Walmart,2
Google,VMware,2
JD.com,Morgan Stanley,2
Deutsche Bank,Google,2
Accenture,Deutsche Bank,2
HEICO,International,2
Credit Suisse,Intel,2
Century Aluminum,U.S. Steel,2
CBS Corporation,Viacom,2
Deutsche Bank,Novartis,2
Monsanto,Qualcomm,2
Broadcom,Monsanto,2
Alibaba Group,Baidu,2
American Express,Wells Fargo,2
American Express,U.S. Bancorp,2
American Express,SunTrust Banks,2
American Express,Morgan Stanley,2
American Express,Fifth Third Bancorp,2
American Express,Citigroup,2
Smithfield Foods,Tyson Foods,2
Google,Johnson & Johnson,2
Juniper Networks,Nortel,2
U.S. Bancorp,Wells Fargo,2
SunTrust Banks,Wells Fargo,2
Fifth Third Bancorp,Wells Fargo,2
Fifth Third Bancorp,U.S. Bancorp,2
Fifth Third Bancorp,SunTrust Banks,2
Bristol-Myers Squibb,Credit Suisse,2
CME Group,Unilever,2
Sangamo Therapeutics,Sanofi,2
Johnson & Johnson,Sangamo Therapeutics,2
American Express,Walmart,2
Bank of America,Lehman Brothers,2
Google,Viacom,2
Overstock.com,Walmart,2
Rayonier,Rayonier Advanced Materials,2
Canadian Imperial Bank of Commerce,UBS,2
Credit Suisse,Nvidia,2
AMD,Credit Suisse,2
British American Tobacco,Smith & Nephew,2
Fifth Third Bancorp,Goldman Sachs,2
Google,LG Display,2
Dominion Energy,SCANA,2
Citigroup,SunTrust Banks,2
Citigroup,Fifth Third Bancorp,2
Safeway,Walmart,2
Union Pacific Corporation,Union Pacific Railroad,2
Hewlett Packard Enterprise,IBM,2
Nike,Wells Fargo,2
Broadcom,ISS,2
AT&T,Deutsche Bank,2
J. Walter Thompson,Vodafone,2
J. Walter Thompson,Unilever,2
Amazon,HSBC,2
British American Tobacco,Morgan Stanley,2
Air France-KLM,Ryanair,2
Citigroup,Nomura Group,2
AT&T,Hewlett-Packard,2
MoneyGram,Oaktree Capital Management,2
General Mills,Unilever,2
Axalta Coating Systems,General Cable,2
Deutsche Bank,S&P Global Ratings,2
Baker Hughes,General Electric,2
Amazon,Bank of America,2
Google,Vodafone,2
Evogene Ltd,Monsanto,2
DuPont,Monsanto,2
Baker Hughes,Morgan Stanley,2
Boeing,Copa Airlines,2
Rentokil Initial,Unilever,2
BP,Rentokil Initial,2
Credit Suisse,MPLX,2
Goldman Sachs,Walmart,2
Deutsche Bank,First Hawaiian Bank,2
Procter & Gamble,UBS,2
Mylan,Novartis,2
Broadcom,Hewlett-Packard,2
Bank of America,Comcast,2
Meredith Corporation,Walmart,2
British American Tobacco,Microsoft,2
Amazon,British American Tobacco,2
Dell EMC,Dell Technologies,2
Equifax,ISS,2
Google,Mattel,2
IBM,Walmart,2
Google,MGM Resorts International,2
Astra,Bristol-Myers Squibb,2
ArcelorMittal,Unilever,2
ArcelorMittal,Morgan Stanley,2
Safeway,SuperValu,2
Deutsche Bank,IBM,2
Uber,Walmart,2
Ford Motor Company,General Motors,2
Caterpillar,General Motors,2
Boeing,General Motors,2
Google,Sonos,2
Instacart,Whole Foods Market,2
Boeing,Siemens,2
Boeing,Starbucks,2
MSCI,Westpac,2
Marriott International,Marriott Vacations Worldwide Corporation,2
ISS,Wells Fargo,2
Bank of America,Lloyds Banking Group,2
Amazon,GSK,2
BlackRock,Morgan Stanley,2
Deutsche Telekom,Royal Bank of Canada,2
Getty Images,Microsoft,2
DuPont,Evogene Ltd,2
Comcast,Wells Fargo,2
GSK,Orchard Therapeutics,2
Bloom Energy,Morgan Stanley,2
Credit Suisse,Incyte,2
Humana,Tesla,2
Manulife Financial,Suncor Energy,2
Goldman Sachs,SAP,2
Humana,Walmart,2
Kroger,Safeway,2
Costco,SuperValu,2
Costco,Safeway,2
Mondelez International,PepsiCo,2
GSK,Unilever,2
GSK,PepsiCo,2
GSK,Mondelez International,2
BlackRock,Smith & Wesson,2
Google,Humana,2
Microsoft,RingCentral,2
IBM,RingCentral,2
