company_id,company,article_count
Q910866,Humana,13
Q4828988,Avista,13
Q1325369,Elbit Systems Ltd.,13
Q5147194,Colliers International,13
Q589288,The Bank of New York Mellon,13
Q1146061,Cushman & Wakefield,13
Q22909236,Instacart,13
Q498746,W. R. Grace and Company,13
Q899183,FMC Corporation,13
Q7308054,Regeneron Pharmaceuticals,13
Q6459734,LPL Financial,13
Q11463,Adobe,13
Q590897,Empresas ICA,13
Q18619470,Restaurant Brands International,13
Q130326112,Kellogg’s,13
Q5167736,Cooper-Standard Automotive,13
Q1741634,Kimberly-Clark,13
Q489080,"Automatic Data Processing, Inc. (ADP)",13
Q7309349,Register.com,13
Q39046155,Antero Resources,13
Q5099817,China Nepstar,13
Q22674048,Main Street Capital Corp,13
Q188514,Tata Motors Ltd,13
Q1053422,Cenovus Energy,13
Q48740858,Compass Inc.,13
Q3211367,Fresh Del Monte Produce,13
Q24834296,China Telecom,13
Q1770710,Tripadvisor,12
Q4649932,AAR Corp,12
Q1916402,Pearson plc,12
Q642610,Hawaiian Airlines,12
Q920037,J. C. Penney,12
Q643674,Thermo Fisher Scientific,12
Q2094989,Sumitomo Mitsui Financial Group,12
Q7259716,PulteGroup,12
Q291171,Aegon,12
Q2114414,Prudential Financial,12
Q912413,France Télécom,12
Q6914636,Mortgage Guaranty Insurance Corporation,12
Q1615684,Hess Corporation,12
Q26989,Infosys,12
Q4046987,Pioneer Natural Resources,12
Q2144525,Scripps Networks Interactive,12
Q4788901,Arena Pharmaceuticals,12
Q1816028,National Bank of Greece,12
Q4799191,Arthur J. Gallagher & Co.,12
Q682759,Linde Group,12
Q1534597,Gold Fields,12
Q5227485,Dataram,12
Q7921589,Vermilion Energy,12
Q2103926,UnitedHealth Group,12
Q20858163,Norfolk Southern Corporation,12
Q483006,LG Display,12
Q947718,Reynolds American,12
Q5047083,Carter's,12
Q1507642,Huaneng Power International,12
Q2304693,Southern Company,12
Q744683,Franklin Templeton Investments,12
Q4546965,MongoDB Inc.,12
Q5533818,Genuine Parts Company,12
Q7742790,The J.M. Smucker Company,12
Q7392916,SS&C Technologies,12
Q7616390,Stifel,11
Q16255113,Jazz Pharmaceuticals,11
Q3077586,Bilibili,11
Q21189883,Willis Towers Watson,11
Q5189320,Crown Castle International Corp.,11
Q1123399,"Conagra Brands, Inc.",11
Q1373493,Lowe's,11
Q5013072,CNA Financial,11
Q3009498,MSA Safety,11
Q5451274,FireEye,11
Q1520122,Getty Images,11
Q276345,Millicom,11
Q166621,Mizuho Financial Group,11
Q18619272,Greenhill & Co.,11
Q1502712,Genworth Financial,11
Q368181,Vornado Realty Trust,11
Q465751,Chipotle Mexican Grill,11
Q1740314,KeyBank,11
Q5165314,Continental Resources,11
Q415598,Akamai Technologies,11
Q7673435,"Tableau Software, Inc.",11
Q7727445,The Container Store,11
Q1056637,The Hershey Company,11
Q5331380,Eaton Vance,11
Q2008551,Oaktree Capital Management,11
Q130624258,Fifth Third Bancorp,11
Q2448801,TransAlta Corporation,11
Q290680,ADT Inc.,11
Q502509,Smith & Nephew,11
Q75256038,Cronos Group Inc,11
Q1656230,Phillips 66,11
Q835370,Yamana Gold,11
Q806189,Banco Bilbao Vizcaya Argentaria,11
Q7415751,SandRidge Energy,11
Q938668,Sina Corporation,11
Q7308000,Regency Centers,11
Q1424962,IHG Hotels & Resorts,11
Q4048013,Range Resources,11
Q1345971,USA Today Co.,11
Q6715131,MDC Holdings,11
Q16959310,CST Brands,10
Q1548363,Magic Software Enterprises Ltd.,10
Q12123536,MHP,10
Q5928181,HudBay Minerals,10
Q16983765,Prologis,10
Q16986288,Vail Resorts,10
Q1265181,Dun & Bradstreet,10
Q2831861,Albertsons,10
Q8093,Nintendo,10
Q1413997,Quantum Corporation,10
Q899255,LyondellBasell,10
Q967868,NextEra Energy,10
Q3319685,Molson Coors Brewing Company,10
Q2961234,Charter Communications,10
Q7934906,Virtu Financial,10
Q7002903,Neustar,10
Q16980647,InterOil,10
Q2287759,Simon Property Group,10
Q1931458,Micro Focus International,10
Q1053299,CRH,10
