company,company_id,exchange,ticker,industry,company_url
,Q1476080,Nasdaq,PRVT,pornography industry,http://www.wikidata.org/entity/Q1476080
,Q1465461,New York Stock Exchange,NGG,electric power industry,http://www.wikidata.org/entity/Q1465461
,Q1511043,New York Stock Exchange,GGB,iron and steel industry,http://www.wikidata.org/entity/Q1511043
,Q135579976,Nasdaq,UNIT,telecommunications,http://www.wikidata.org/entity/Q135579976
,Q1348664,New York Stock Exchange,ROK,aerospace industry,http://www.wikidata.org/entity/Q1348664
,Q1433308,New York Stock Exchange,,aerospace industry,http://www.wikidata.org/entity/Q1433308
,Q1485061,New York Stock Exchange,GE,aerospace industry,http://www.wikidata.org/entity/Q1485061
,Q1392999,New York Stock Exchange,FICO,data analysis,http://www.wikidata.org/entity/Q1392999
,Q1486956,Nasdaq,XEL,public utility,http://www.wikidata.org/entity/Q1486956
,Q1486956,New York Stock Exchange,XEL,public utility,http://www.wikidata.org/entity/Q1486956
,Q1514221,Nasdaq,KUBTY,manufacture of machinery and equipment,http://www.wikidata.org/entity/Q1514221
,Q5194189,Nasdaq,CMLS,news media,http://www.wikidata.org/entity/Q5194189
,Q5270794,Nasdaq,DMND,fast-moving consumer goods,http://www.wikidata.org/entity/Q5270794
,Q950380,New York Stock Exchange,CBSA,television,http://www.wikidata.org/entity/Q950380
,Q5185100,Nasdaq,CRCT,consumer electronics industry,http://www.wikidata.org/entity/Q5185100
,Q5189378,New York Stock Exchange,CCK,product packaging industry,http://www.wikidata.org/entity/Q5189378
,Q5275716,Nasdaq,DGII,computer hardware industry,http://www.wikidata.org/entity/Q5275716
,Q5278020,New York Stock Exchange,DIN,restaurant industry,http://www.wikidata.org/entity/Q5278020
,Q5279096,Nasdaq,DIOD,Semiconductor industry in the US,http://www.wikidata.org/entity/Q5279096
,Q5287613,Nasdaq,DOCU,business software industry,http://www.wikidata.org/entity/Q5287613
,Q5291323,Nasdaq,DOMO,business software industry,http://www.wikidata.org/entity/Q5291323
,Q5349788,Nasdaq,,restaurant industry,http://www.wikidata.org/entity/Q5349788
,Q5206198,New York Stock Exchange,DST,corporate services,http://www.wikidata.org/entity/Q5206198
,Q5254919,New York Stock Exchange,DLX,corporate services,http://www.wikidata.org/entity/Q5254919
,Q136652759,Nasdaq,BELLX,artificial intelligence,http://www.wikidata.org/entity/Q136652759
,Q11463,Nasdaq,ADBE,artificial intelligence,http://www.wikidata.org/entity/Q11463
,Q1415501,New York Stock Exchange,LXK,computer industry,http://www.wikidata.org/entity/Q1415501
,Q7864706,New York Stock Exchange,UIL,holding company,http://www.wikidata.org/entity/Q7864706
,Q7888979,Nasdaq,UNFI,wholesale,http://www.wikidata.org/entity/Q7888979
,Q7888979,New York Stock Exchange,UNFI,wholesale,http://www.wikidata.org/entity/Q7888979
,Q7761625,New York Stock Exchange,RSE,real estate development,http://www.wikidata.org/entity/Q7761625
,Q7833614,New York Stock Exchange,TFII,freight transport,http://www.wikidata.org/entity/Q7833614
,Q7414,New York Stock Exchange,DIS,animation,http://www.wikidata.org/entity/Q7414
,Q380,Nasdaq,META,information technology,http://www.wikidata.org/entity/Q380
,Q1459595,New York Stock Exchange,REV,cosmetics industry,http://www.wikidata.org/entity/Q1459595
,Q6029685,Nasdaq,INFN,telecommunications,http://www.wikidata.org/entity/Q6029685
,Q7825574,New York Stock Exchange,GL,life insurance,http://www.wikidata.org/entity/Q7825574
,Q7884714,Nasdaq,ENLV,online advertising,http://www.wikidata.org/entity/Q7884714
,Q5191790,Nasdaq,TCOM,tourism industry,http://www.wikidata.org/entity/Q5191790
,Q5333046,Nasdaq,ECLP,health information technology,http://www.wikidata.org/entity/Q5333046
,Q5340903,Nasdaq,EDMC,for-profit education,http://www.wikidata.org/entity/Q5340903
,Q1058722,New York Stock Exchange,SHAK,restaurant,http://www.wikidata.org/entity/Q1058722
,Q127690442,Nasdaq,FFBC,bank,http://www.wikidata.org/entity/Q127690442
,Q966613,Nasdaq,,telecommunications,http://www.wikidata.org/entity/Q966613
