company,company_id,ticker,industry,company_url
Bakkt,Q83768717,BKKT,financial services,http://www.wikidata.org/entity/Q83768717
Baldwin-United,Q123982663,,,http://www.wikidata.org/entity/Q123982663
Bally Technologies,Q805383,BYI,gambling industry,http://www.wikidata.org/entity/Q805383
Bally's Corporation,Q65062134,BALY,gambling industry,http://www.wikidata.org/entity/Q65062134
Banco Itaú Corpbanca,Q2423252,ITCL,bank,http://www.wikidata.org/entity/Q2423252
Banco Latinoamericano de Comercio Exterior,Q25104482,BLX,,http://www.wikidata.org/entity/Q25104482
Banco Santander (Brasil),Q2882087,BSBR,economics of banking,http://www.wikidata.org/entity/Q2882087
"Banco Santander México, S.A.",Q8965165,BSMX,financial services,http://www.wikidata.org/entity/Q8965165
Banco Santander-Chile,Q1094313,BSAC,financial services,http://www.wikidata.org/entity/Q1094313
Banco de Chile,Q2882085,BCH,economics of banking,http://www.wikidata.org/entity/Q2882085
Bancolombia,Q806206,CIB,economics of banking,http://www.wikidata.org/entity/Q806206
"BancorpSouth, Inc.",Q114821698,BXS,,http://www.wikidata.org/entity/Q114821698
Bank of Hawaii,Q4856124,BOH,finance,http://www.wikidata.org/entity/Q4856124
BankAtlantic,Q4855875,,financial services,http://www.wikidata.org/entity/Q4855875
BankUnited,Q4855887,BKU,financial services,http://www.wikidata.org/entity/Q4855887
Bankrate,Q4856439,,Internet,http://www.wikidata.org/entity/Q4856439
Bard,Q5006774,BCR,,http://www.wikidata.org/entity/Q5006774
Barnes & Noble College Booksellers,Q4861508,BNED,retail,http://www.wikidata.org/entity/Q4861508
Barnes Group,Q4861529,B,aerospace industry,http://www.wikidata.org/entity/Q4861529
Barracuda Networks,Q4863194,CUDA,computer security,http://www.wikidata.org/entity/Q4863194
Barrick Mining Corporation,Q808908,GOLD,mining,http://www.wikidata.org/entity/Q808908
Bath & Body Works,Q810773,BBWI,final good,http://www.wikidata.org/entity/Q810773
"Bath & Body Works, Inc.",Q931354,LB,retail,http://www.wikidata.org/entity/Q931354
Bausch & Lomb,Q811857,BLCO,pharmaceutical industry,http://www.wikidata.org/entity/Q811857
Bausch Health,Q1700871,BHC,pharmaceutical industry,http://www.wikidata.org/entity/Q1700871
Baxter International,Q761965,BAX,medical equipment,http://www.wikidata.org/entity/Q761965
Baytex Energy,Q4874958,BTE,petroleum industry,http://www.wikidata.org/entity/Q4874958
Beazer Homes USA,Q4878288,BZH,,http://www.wikidata.org/entity/Q4878288
Beike,Q105886736,BEKE,,http://www.wikidata.org/entity/Q105886736
Belmond,Q4045977,BEL,hospitality industry,http://www.wikidata.org/entity/Q4045977
Bemis Company,Q816379,BMS,product packaging industry,http://www.wikidata.org/entity/Q816379
Benchmark Electronics,Q4886950,BHE,,http://www.wikidata.org/entity/Q4886950
Berkshire Bank,Q48976878,BHLB,bank,http://www.wikidata.org/entity/Q48976878
Berry Plastics,Q4894819,BERY,,http://www.wikidata.org/entity/Q4894819
Big Lots,Q4905973,BIG,retail,http://www.wikidata.org/entity/Q4905973
BigBear.ai,Q124545138,BBAI,software industry,http://www.wikidata.org/entity/Q124545138
Biglari Holdings Inc.,Q4906978,BH,,http://www.wikidata.org/entity/Q4906978
Bill Barrett Corporation,Q4908047,BBG,petroleum industry,http://www.wikidata.org/entity/Q4908047
"Bill.com, LLC",Q18205529,BILL,,http://www.wikidata.org/entity/Q18205529
Billerud,Q7922702,,pulp and paper industry,http://www.wikidata.org/entity/Q7922702
Bio-Rad Laboratories,Q2904022,BIO,biotechnology,http://www.wikidata.org/entity/Q2904022
