company,company_id,ticker,industry,company_url
Brandywine Realty Trust,Q4957288,BDN,,http://www.wikidata.org/entity/Q4957288
Brasil Telecom,Q899130,BTM,telecommunications,http://www.wikidata.org/entity/Q899130
Braskem,Q899395,BAK,petroleum industry,http://www.wikidata.org/entity/Q899395
Bridge Investment Group,Q118327775,BRDG,investment management,http://www.wikidata.org/entity/Q118327775
Briggs & Stratton,Q915543,BGG,mechanical engineering,http://www.wikidata.org/entity/Q915543
Bright Health,Q48797772,BHG,,http://www.wikidata.org/entity/Q48797772
Bright Horizons,Q4967421,BFAM,child care,http://www.wikidata.org/entity/Q4967421
Brilliance China Automotive Holdings,Q97961992,CBA,,http://www.wikidata.org/entity/Q97961992
Brink's,Q2902305,BCO,logistics,http://www.wikidata.org/entity/Q2902305
Brinker International,Q917487,EAT,music,http://www.wikidata.org/entity/Q917487
Bristow Helicopters,Q4969137,VTOL,,http://www.wikidata.org/entity/Q4969137
British American Tobacco,Q856411,BTI,tobacco industry,http://www.wikidata.org/entity/Q856411
Brixmor Property Group,Q17512182,BRX,real estate investment trust,http://www.wikidata.org/entity/Q17512182
Broadridge Financial Solutions,Q4972280,BR,financial services,http://www.wikidata.org/entity/Q4972280
Brookdale Senior Living,Q4974387,BKD,retirement home,http://www.wikidata.org/entity/Q4974387
Brookfield Business Partners,Q24705550,BBU,,http://www.wikidata.org/entity/Q24705550
Brookfield Infrastructure Partners,Q13529408,BIP,Infrastructure asset management,http://www.wikidata.org/entity/Q13529408
Brookfield Properties,Q4974584,,property management,http://www.wikidata.org/entity/Q4974584
Brookfield Property Partners,Q24110304,BPY,real estate industry,http://www.wikidata.org/entity/Q24110304
Brookfield Renewable,Q4974587,BEPC,,http://www.wikidata.org/entity/Q4974587
Brookfield Residential,Q4974589,,real estate development,http://www.wikidata.org/entity/Q4974589
Brooklyn Rapid Transit Company,Q2926166,B,,http://www.wikidata.org/entity/Q2926166
Brunswick Corporation,Q994153,BC,,http://www.wikidata.org/entity/Q994153
Buckeye Partners,Q4983090,BPL,petroleum,http://www.wikidata.org/entity/Q4983090
Buckle,Q4983306,BKE,retail,http://www.wikidata.org/entity/Q4983306
Buenaventura,Q1001788,BVN,mining,http://www.wikidata.org/entity/Q1001788
Build-A-Bear Workshop,Q1002992,BBW,retail,http://www.wikidata.org/entity/Q1002992
Builders FirstSource,Q27686100,BLDR,building materials trade,http://www.wikidata.org/entity/Q27686100
Bunge Limited,Q1009458,BG,food industry,http://www.wikidata.org/entity/Q1009458
Burford Capital,Q24204272,BUR,financial services,http://www.wikidata.org/entity/Q24204272
Burgundy Diamond Mines,Q3127944,,,http://www.wikidata.org/entity/Q3127944
Butterfield Bank,Q5002877,,,http://www.wikidata.org/entity/Q5002877
Byline Bank,Q6824994,BY,economics of banking,http://www.wikidata.org/entity/Q6824994
C&J Energy Services,Q48647846,CJ,,http://www.wikidata.org/entity/Q48647846
CACI,Q1022711,CACI,professional services industry,http://www.wikidata.org/entity/Q1022711
CAE Inc.,Q180922,CAE,aerospace engineering,http://www.wikidata.org/entity/Q180922
CBL Properties,Q5009135,CBL,real estate investment trust,http://www.wikidata.org/entity/Q5009135
