company,companyLabel,companyId,exchangeLabel,ticker,industries,marketCap,marketCapDate,revenue,revenueDate
http://www.wikidata.org/entity/Q4688254,Aeroflex,Q4688254,New York Stock Exchange,ARX,,,,,
http://www.wikidata.org/entity/Q4688284,Aerohive Networks,Q4688284,New York Stock Exchange,HIVE,information technology,,,,
http://www.wikidata.org/entity/Q392445,Aerojet Rocketdyne Holdings,Q392445,New York Stock Exchange,,,,,1220000000,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4688714,Aethlon Medical,Q4688714,Nasdaq,AEMD,,,,,
http://www.wikidata.org/entity/Q26049,Aetna,Q26049,New York Stock Exchange,AET,insurance; managed care,,,,
http://www.wikidata.org/entity/Q128050179,"Aeva, Inc",Q128050179,New York Stock Exchange,AEVA,,,,,
http://www.wikidata.org/entity/Q25775,Affiliated Managers Group,Q25775,New York Stock Exchange,AMG,financial services,,,,
http://www.wikidata.org/entity/Q65085822,Affirm,Q65085822,Nasdaq,AFRM,fintech,,,,
http://www.wikidata.org/entity/Q2826104,Affymetrix,Q2826104,Nasdaq,AFFX,biotechnology,,,,
http://www.wikidata.org/entity/Q26311,Aflac,Q26311,New York Stock Exchange,AFL,,37700000000,2021-11-14T00:00:00Z,19502000000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4692116,Agenus,Q4692116,Nasdaq,AGEN,biotechnology,,,,
http://www.wikidata.org/entity/Q393762,Agilent Technologies,Q393762,New York Stock Exchange,A,high-performance liquid chromatography; electronics industry; measurement tool,,,6848000000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17510106,Agilysys,Q17510106,Nasdaq,AGYS,,,,,
http://www.wikidata.org/entity/Q16824426,Agios Pharmaceuticals,Q16824426,Nasdaq,AGIO,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q38676,Agnico Eagle Mines,Q38676,New York Stock Exchange,AEM,mining industry,,,,
http://www.wikidata.org/entity/Q106309492,"Agora, Inc.",Q106309492,Nasdaq,API,,,,,
http://www.wikidata.org/entity/Q397223,Agrium,Q397223,New York Stock Exchange,AGU,,,,,
http://www.wikidata.org/entity/Q293796,Aimco,Q293796,New York Stock Exchange,AIV,real estate investment trust,,,,
http://www.wikidata.org/entity/Q407237,Air France-KLM,Q407237,Nasdaq,AFRAF,holding company activities,,,33007000000,2025-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4698062,Air Lease,Q4698062,New York Stock Exchange,AL,financial services,,,,
http://www.wikidata.org/entity/Q4698090,Air Methods,Q4698090,Nasdaq,AIRM,,,,,
http://www.wikidata.org/entity/Q407744,Air Products & Chemicals,Q407744,New York Stock Exchange,APD,,,,12698600000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q407859,Air Transport International,Q407859,Nasdaq,ATSG,,,,,
http://www.wikidata.org/entity/Q4698227,Air Transport Services Group,Q4698227,Nasdaq,ATSG,airline,,,,
http://www.wikidata.org/entity/Q63327,Airbnb,Q63327,Nasdaq,ABNB,tourism industry,76532000000,2023-02-14T00:00:00Z,11102000000,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16002190,Airborne Maintenance & Engineering Services,Q16002190,Nasdaq,ATSG,aerospace industry,,,,
http://www.wikidata.org/entity/Q13583352,Aircastle,Q13583352,New York Stock Exchange,AYR,aircraft lease,,,,
http://www.wikidata.org/entity/Q80635,Airgas,Q80635,New York Stock Exchange,ARG,industrial gas,,,5314000000,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q415598,Akamai Technologies,Q415598,Nasdaq,AKAM,web hosting service; Internet industry,18640000000,2021-08-23T00:00:00Z,3198149000,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4705296,Alabama Power,Q4705296,New York Stock Exchange,ALP-Q,electric power industry,,,,
http://www.wikidata.org/entity/Q2916067,Aladdin Knowledge Systems,Q2916067,Nasdaq,ALDN,computer security,,,,
http://www.wikidata.org/entity/Q21198484,Alamo Group,Q21198484,New York Stock Exchange,ALG,,,,,
http://www.wikidata.org/entity/Q105760370,Alamos Gold,Q105760370,New York Stock Exchange,AGI,,,,,
http://www.wikidata.org/entity/Q4708382,"Alarm.com, Inc.",Q4708382,Nasdaq,ALRM,retail,,,,
http://www.wikidata.org/entity/Q4033665,Alaska Air Group,Q4033665,New York Stock Exchange,ALK,transport,,,,
http://www.wikidata.org/entity/Q822614,Alaska Airlines,Q822614,New York Stock Exchange,ALK,,,,,
http://www.wikidata.org/entity/Q4708516,Alaska Communications,Q4708516,Nasdaq,ALSK,mobile phone industry; telecommunications,,,,
http://www.wikidata.org/entity/Q23018189,Albany International,Q23018189,New York Stock Exchange,AIN,,,,,
http://www.wikidata.org/entity/Q127074,Albemarle Corporation,Q127074,New York Stock Exchange,ALB,chemical industry,,,7320104000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2831861,Albertsons,Q2831861,New York Stock Exchange,ACI,retail,,,77649700000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q135325,Alcoa,Q135325,New York Stock Exchange,AA,Aluminium production; aluminium industry,,,,
http://www.wikidata.org/entity/Q684825,Alcon,Q684825,New York Stock Exchange,ALC,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q4713807,Aldila,Q4713807,Nasdaq,,,,,,
http://www.wikidata.org/entity/Q135281,Alexander & Baldwin,Q135281,New York Stock Exchange,ALEX,conglomerate,,,,
http://www.wikidata.org/entity/Q4718099,Alexander's,Q4718099,New York Stock Exchange,ALX,real estate investment trust,,,,
http://www.wikidata.org/entity/Q48739877,Alexandria Real Estate Equities,Q48739877,New York Stock Exchange,ARE,real estate investment trust,,,,
http://www.wikidata.org/entity/Q204727,Alexion Pharmaceuticals,Q204727,Nasdaq,ALXN,pharmaceutical industry,,,6100000000,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1359568,Alibaba Group,Q1359568,New York Stock Exchange,BABA,e-commerce,657500000000,2022-02-01T00:00:00Z,137300000000,2024-01-01T00:00:00Z
http://www.wikidata.org/entity/Q20709176,Alico,Q20709176,Nasdaq,ALCO,,,,,
http://www.wikidata.org/entity/Q65091232,Alight Solutions,Q65091232,New York Stock Exchange,ALIT,professional service,,,,
http://www.wikidata.org/entity/Q30272258,Align Technology,Q30272258,Nasdaq,ALGN,,,,,
http://www.wikidata.org/entity/Q4726659,Alimera Sciences,Q4726659,Nasdaq,ALIM,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q4727688,Alkermes,Q4727688,Nasdaq,ALKS,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q151670,Alleghany Corporation,Q151670,New York Stock Exchange,Y,insurance,,,,
http://www.wikidata.org/entity/Q1361648,Allegheny Technologies,Q1361648,New York Stock Exchange,ATI,,,,,
http://www.wikidata.org/entity/Q1319601,Allegiant Air,Q1319601,Nasdaq,ALGT,civil aviation,,,,
http://www.wikidata.org/entity/Q16738121,Allegion,Q16738121,New York Stock Exchange,ALLE,,,,,
http://www.wikidata.org/entity/Q2648305,Allen-Bradley,Q2648305,New York Stock Exchange,,,,,,
http://www.wikidata.org/entity/Q906187,Allergan plc,Q906187,New York Stock Exchange,AGN,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q2837996,Alliance Data,Q2837996,New York Stock Exchange,ADS,financial services,,,,
http://www.wikidata.org/entity/Q16824882,Alliance One International,Q16824882,New York Stock Exchange,,,,,,
http://www.wikidata.org/entity/Q4732268,AllianceBernstein,Q4732268,New York Stock Exchange,AB,asset management,,,,
http://www.wikidata.org/entity/Q4732492,Alliant Energy,Q4732492,Nasdaq,LNT,public utility,,,,
http://www.wikidata.org/entity/Q238765,Alliant Techsystems,Q238765,New York Stock Exchange,ATK,aerospace industry,,,2340000000,2014-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4732707,Allis-Chalmers Energy,Q4732707,New York Stock Exchange,,,,,,
http://www.wikidata.org/entity/Q2036530,Allison Transmission,Q2036530,New York Stock Exchange,ALSN,,,,,
http://www.wikidata.org/entity/Q4733161,Allot Ltd,Q4733161,Nasdaq,ALLT,media industry,538598000,2022-11-15T00:00:00Z,,
http://www.wikidata.org/entity/Q4733274,Allscripts,Q4733274,Nasdaq,MDRX,information technology; health informatics,,,,
http://www.wikidata.org/entity/Q2645636,Allstate,Q2645636,New York Stock Exchange,ALL,insurance,,,51412000000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2032800,Ally Financial,Q2032800,New York Stock Exchange,ALLY,financial services; Consumer Lending,,,8428000000,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q16974682,Alnylam Pharmaceuticals,Q16974682,Nasdaq,ALNY,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q20502124,Alon Blue Square Israel Ltd,Q20502124,New York Stock Exchange,BSI,food retail sector,,,,
http://www.wikidata.org/entity/Q2839213,Alon USA,Q2839213,New York Stock Exchange,,energy supply,,,,
http://www.wikidata.org/entity/Q30273331,Alpha & Omega Semiconductor,Q30273331,Nasdaq,AOSL,,,,,
http://www.wikidata.org/entity/Q2839509,Alpha Natural Resources,Q2839509,New York Stock Exchange,AMR,mining,,,,
http://www.wikidata.org/entity/Q1472539,Alpha Tomo Global Resoures Sdn Bhd,Q1472539,New York Stock Exchange,MAN,staffing industry,,,,
http://www.wikidata.org/entity/Q20800404,Alphabet Inc.,Q20800404,Nasdaq,GOOG,information technology,1961000000000,2025-05-01T00:00:00Z,402836000000,2025-01-01T00:00:00Z
http://www.wikidata.org/entity/Q104481262,Alpine Immune Sciences,Q104481262,Nasdaq,ALPN,pharmaceutical industry,,,,
http://www.wikidata.org/entity/Q30321616,Altaba,Q30321616,Nasdaq,AABA,investment management,,,,
http://www.wikidata.org/entity/Q5120216,Altafiber,Q5120216,New York Stock Exchange,,telecommunications; mobile phone industry,,,,
