company,company_id,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date
Mallinckrodt Pharmaceuticals,Q6744211,New York Stock Exchange,MNK,pharmaceutical industry,,,http://www.wikidata.org/entity/Q6744211,3221600000.0,2017-01-01 00:00:00+00:00
Akamai Technologies,Q415598,Nasdaq,AKAM,web hosting service,18640000000.0,2021-08-23 00:00:00+00:00,http://www.wikidata.org/entity/Q415598,3198149000.0,2020-01-01 00:00:00+00:00
Coinbase,Q16972754,Nasdaq,COIN,Bitcoin,,,http://www.wikidata.org/entity/Q16972754,3194208000.0,2022-01-01 00:00:00+00:00
Six Flags,Q127324768,New York Stock Exchange,FUN,hospitality industry,1613000000.0,2026-02-15 00:00:00+00:00,http://www.wikidata.org/entity/Q127324768,3100289000.0,2025-12-31 00:00:00+00:00
CrowdStrike,Q24890758,Nasdaq,CRWD,computer security,,,http://www.wikidata.org/entity/Q24890758,3060000000.0,2024-01-01 00:00:00+00:00
ITT Corporation,Q582418,New York Stock Exchange,ITT,industrial manufacturing,,,http://www.wikidata.org/entity/Q582418,2988000000.0,2022-01-01 00:00:00+00:00
Avaya,Q212433,New York Stock Exchange,AVYA,mechanical engineering,,,http://www.wikidata.org/entity/Q212433,2970000000.0,2021-01-01 00:00:00+00:00
Palantir Technologies,Q2047336,New York Stock Exchange,PLTR,computer and network surveillance,,,http://www.wikidata.org/entity/Q2047336,2865507000.0,2024-01-01 00:00:00+00:00
Science Applications International Corporation,Q14993631,New York Stock Exchange,SAIC,information technology,,,http://www.wikidata.org/entity/Q14993631,2800000000.0,2018-01-01 00:00:00+00:00
AECOM,Q2825507,New York Stock Exchange,ACM,construction,,,http://www.wikidata.org/entity/Q2825507,2770000000.0,2018-01-01 00:00:00+00:00
Legg Mason,Q1134746,New York Stock Exchange,,financial services,3210000000.0,2017-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q1134746,2660000000.0,2015-01-01 00:00:00+00:00
Rockwell Collins,Q461210,New York Stock Exchange,COL,aerospace industry,,,http://www.wikidata.org/entity/Q461210,2630000000.0,2018-01-01 00:00:00+00:00
"KBR, Inc.",Q596499,New York Stock Exchange,KBR,,,,http://www.wikidata.org/entity/Q596499,2600000000.0,2018-01-01 00:00:00+00:00
AvalonBay,Q4827537,New York Stock Exchange,AVB,real estate investment trust,,,http://www.wikidata.org/entity/Q4827537,2593446000.0,2022-01-01 00:00:00+00:00
Perspecta Inc.,Q97359908,New York Stock Exchange,PRSP,computer security,,,http://www.wikidata.org/entity/Q97359908,2590000000.0,2018-01-01 00:00:00+00:00
Light & Wonder,Q7433758,Nasdaq,SGMS,gambling industry,,,http://www.wikidata.org/entity/Q7433758,2512000000.0,2022-01-01 00:00:00+00:00
Miniso,Q20732498,New York Stock Exchange,MNSO,retail,,,http://www.wikidata.org/entity/Q20732498,2500000000.0,2018-01-01 00:00:00+00:00
BWX Technologies,Q4836852,New York Stock Exchange,BWXT,,,,http://www.wikidata.org/entity/Q4836852,2496000000.0,2023-01-01 00:00:00+00:00
Gen Digital,Q677085,Nasdaq,SYMC,software industry,,,http://www.wikidata.org/entity/Q677085,2490000000.0,2020-01-01 00:00:00+00:00
Alliant Techsystems,Q238765,New York Stock Exchange,ATK,aerospace industry,,,http://www.wikidata.org/entity/Q238765,2340000000.0,2014-01-01 00:00:00+00:00
URS Corporation,Q847232,New York Stock Exchange,URS,engineering,,,http://www.wikidata.org/entity/Q847232,2310000000.0,2013-01-01 00:00:00+00:00
Bath & Body Works,Q810773,New York Stock Exchange,BBWI,final good,,,http://www.wikidata.org/entity/Q810773,2300000000.0,2006-01-01 00:00:00+00:00
EPAM Systems,Q1275613,New York Stock Exchange,EPAM,outsourcing,,,http://www.wikidata.org/entity/Q1275613,2290000000.0,2019-01-01 00:00:00+00:00
GoDaddy,Q1416215,New York Stock Exchange,GDDY,web hosting service,,,http://www.wikidata.org/entity/Q1416215,2231900000.0,2017-01-01 00:00:00+00:00
GoDaddy,Q1416215,Nasdaq,GDDY,web hosting service,,,http://www.wikidata.org/entity/Q1416215,2231900000.0,2017-01-01 00:00:00+00:00
Exelis Inc.,Q15302718,New York Stock Exchange,,weapons industry,,,http://www.wikidata.org/entity/Q15302718,2230000000.0,2014-01-01 00:00:00+00:00
MoneyGram,Q1944412,Nasdaq,MGI,wire transfer,,,http://www.wikidata.org/entity/Q1944412,2107300000.0,2017-01-01 00:00:00+00:00
