company_id,company,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date,primary_ticker
Q15109895,International Display Works,Nasdaq,IDWK,technology,,,http://www.wikidata.org/entity/Q15109895,,,IDWK
Q15109896,Investors Bank,Nasdaq,ISBC,economics of banking,,,http://www.wikidata.org/entity/Q15109896,,,ISBC
Q15109897,J.W. Mays,Nasdaq,MAYS,,,,http://www.wikidata.org/entity/Q15109897,,,MAYS
Q15109901,Learning Tree International,Nasdaq,,,,,http://www.wikidata.org/entity/Q15109901,,,
Q15109903,Luna Innovations,Nasdaq,LUNA,,,,http://www.wikidata.org/entity/Q15109903,,,LUNA
Q15109904,Magnetek,Nasdaq,MAG,,,,http://www.wikidata.org/entity/Q15109904,,,MAG
Q15109905,Maxygen,Nasdaq,MAXY,biotechnology,,,http://www.wikidata.org/entity/Q15109905,,,MAXY
Q15109906,Mazor Robotics,Nasdaq,MZOR,health technology,,,http://www.wikidata.org/entity/Q15109906,,,MZOR
Q15109907,Medivation,Nasdaq,MDVN,pharmaceutical industry,,,http://www.wikidata.org/entity/Q15109907,,,MDVN
Q15109909,Mindspeed Technologies,Nasdaq,MSPD,electronics,,,http://www.wikidata.org/entity/Q15109909,,,MSPD
Q15109910,National Beverage,Nasdaq,FIZZ,beverage industry,,,http://www.wikidata.org/entity/Q15109910,,,FIZZ
Q15109912,Natural Alternatives International,Nasdaq,NAII,,,,http://www.wikidata.org/entity/Q15109912,,,NAII
Q15109913,Netlist Inc.,Nasdaq,NLST,computer hardware industry,,,http://www.wikidata.org/entity/Q15109913,,,NLST
Q15109914,NewBridge Bank,Nasdaq,NBBC,bank,,,http://www.wikidata.org/entity/Q15109914,,,NBBC
Q15109916,Otelco,Nasdaq,OTEL,telecommunications,,,http://www.wikidata.org/entity/Q15109916,,,OTEL
Q15109925,Tractor Supply Company,Nasdaq,TSCO,retail,,,http://www.wikidata.org/entity/Q15109925,,,TSCO
Q15109932,WiLAN,Nasdaq,WILN,,,,http://www.wikidata.org/entity/Q15109932,,,WILN
Q1511043,Gerdau,New York Stock Exchange,GGB,iron and steel industry,,,http://www.wikidata.org/entity/Q1511043,,,GGB
Q151135,Youku,New York Stock Exchange,YOKU,Internet industry,,,http://www.wikidata.org/entity/Q151135,,,YOKU
Q15138136,Mindray,New York Stock Exchange,MR,,,,http://www.wikidata.org/entity/Q15138136,1300000000.0,2014-01-01 00:00:00+00:00,MR
Q1514221,Kubota,Nasdaq,KUBTY,manufacture of machinery and equipment,,,http://www.wikidata.org/entity/Q1514221,,,KUBTY
Q1515039,WME Group,New York Stock Exchange,EDR,talent agent,,,http://www.wikidata.org/entity/Q1515039,,,EDR
Q1516108,TC Energy,New York Stock Exchange,TRP,petroleum industry,,,http://www.wikidata.org/entity/Q1516108,,,TRP
Q1516410,Suncor Energy,New York Stock Exchange,SU,petroleum industry,,,http://www.wikidata.org/entity/Q1516410,,,SU
Q1516562,Liberty Media,Nasdaq,,mass media,,,http://www.wikidata.org/entity/Q1516562,,,
Q151670,Alleghany Corporation,New York Stock Exchange,Y,insurance,,,http://www.wikidata.org/entity/Q151670,,,Y
Q1516849,Shaw Communications,New York Stock Exchange,SJR,telecommunications,,,http://www.wikidata.org/entity/Q1516849,,,SJR
Q1519267,Omnicom Group,New York Stock Exchange,OMC,mass media,,,http://www.wikidata.org/entity/Q1519267,14289100000.0,2022-01-01 00:00:00+00:00,OMC
Q1520122,Getty Images,New York Stock Exchange,GETY,publishing,,,http://www.wikidata.org/entity/Q1520122,,,GETY
Q152057,BP,New York Stock Exchange,BP,petroleum industry,,,http://www.wikidata.org/entity/Q152057,194630000000.0,2024-01-01 00:00:00+00:00,BP
Q15211487,CallidusCloud,Nasdaq,CALD,enterprise software,,,http://www.wikidata.org/entity/Q15211487,,,CALD
Q15238661,CNH Industrial,New York Stock Exchange,CNHI,automotive industry,,,http://www.wikidata.org/entity/Q15238661,23551000000.0,2022-01-01 00:00:00+00:00,CNHI
Q1524197,Gildan Activewear,New York Stock Exchange,GIL,textile industry,,,http://www.wikidata.org/entity/Q1524197,,,GIL
Q152433,Xerox,New York Stock Exchange,XRX,computer industry,,,http://www.wikidata.org/entity/Q152433,18045000000.0,2015-01-01 00:00:00+00:00,XRX
Q1526456,Kimball International,Nasdaq,KBAL,furniture industry,,,http://www.wikidata.org/entity/Q1526456,,,KBAL
Q152695,Amer Sports,New York Stock Exchange,AS,sporting goods industry,,,http://www.wikidata.org/entity/Q152695,,,AS
Q15272375,RetailMeNot,Nasdaq,SALE,coupon,,,http://www.wikidata.org/entity/Q15272375,,,SALE
Q1529234,Rockwell Automation,New York Stock Exchange,ROK,,,,http://www.wikidata.org/entity/Q1529234,7760400000.0,2022-01-01 00:00:00+00:00,ROK
Q15302718,Exelis Inc.,New York Stock Exchange,,weapons industry,,,http://www.wikidata.org/entity/Q15302718,2230000000.0,2014-01-01 00:00:00+00:00,
